Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.906092,0.359567,-0.786292,9.385383,0.172472,0,,,,,0.119807,-0.123321
-0.905339,0.445375,-0.784785,9.385361,0.180009,0,,,,,0.120561,-0.12332
-0.904585,0.537511,-0.783278,9.385345,0.187545,0,,,,,0.121314,-0.123318
-0.903832,0.633668,-0.781771,9.385388,0.195082,0,,,,,0.122068,-0.123316
-0.903078,0.725056,-0.780264,9.385403,0.202619,0,,,,,0.122821,-0.123314
-0.902325,0.819063,-0.778757,9.385411,0.210156,0,,,,,0.123575,-0.123312
-0.901571,0.912533,-0.77725,9.385449,0.217693,0,,,,,0.124328,-0.12331
-0.900818,1.007993,-0.775743,9.385512,0.22523,0,,,,,0.125082,-0.123308
-0.900064,1.109555,-0.774237,9.385583,0.232767,0,,,,,0.125835,-0.123307
-0.899311,1.223934,-0.77273,9.385581,0.240304,0,,,,,0.126589,-0.123305
-0.898557,1.359934,-0.771223,9.385666,0.247841,0,,,,,0.127342,-0.123303
-0.897804,1.52622,-0.769716,9.38567,0.255378,0,,,,,0.128096,-0.123301
-0.89705,1.731753,-0.768209,9.385695,0.262915,0,,,,,0.128849,-0.123299
-0.896297,1.987532,-0.766702,9.385754,0.270452,0,,,,,0.129603,-0.123297
-0.895543,2.314584,-0.765195,9.385831,0.277988,0,,,,,0.130356,-0.123295
-0.89479,2.726693,-0.763688,9.38589,0.285525,0,,,,,0.13111,-0.123293
-0.894036,3.214321,-0.762181,9.385897,0.293062,0,,,,,0.131863,-0.123291
-0.893282,3.787308,-0.760674,9.385876,0.300599,0,,,,,0.132617,-0.123289
-0.892529,4.440169,-0.759167,9.385891,0.308136,0,,,,,0.13337,-0.123287
-0.891775,5.166133,-0.75766,9.385941,0.315673,0,,,,,0.134124,-0.123286
-0.891022,5.960313,-0.756153,9.386008,0.32321,0,,,,,0.134877,-0.123284
-0.890268,6.814089,-0.754646,9.386096,0.330747,0,,,,,0.135631,-0.123282
-0.889515,7.698317,-0.753139,9.386203,0.338284,0,,,,,0.136384,-0.12328
-0.888761,8.563756,-0.751632,9.386308,0.345821,0,,,,,0.137138,-0.123279
-0.888008,9.412483,-0.750125,9.386403,0.353358,0,,,,,0.137891,-0.123278
-0.887254,10.322033,-0.748618,9.386393,0.360895,0,,,,,0.138645,-0.123276
-0.886501,11.293272,-0.747111,9.386395,0.368432,0,,,,,0.139398,-0.123275
-0.885747,12.299389,-0.745604,9.386456,0.375968,0,,,,,0.140152,-0.123274
-0.884994,13.314482,-0.744097,9.386499,0.383505,0,,,,,0.140905,-0.123273
-0.88424,14.326253,-0.74259,9.3865,0.391042,0,,,,,0.141659,-0.123271
-0.883487,15.324661,-0.741083,9.386517,0.398579,0,,,,,0.142412,-0.12327
-0.882733,16.316568,-0.739576,9.386581,0.406116,0,,,,,0.143166,-0.123269
-0.88198,17.295979,-0.738069,9.386566,0.413653,0,,,,,0.143919,-0.123267
-0.881226,18.259785,-0.736562,9.386675,0.42119,0,,,,,0.144673,-0.123265
-0.880473,19.20717,-0.735056,9.386708,0.428727,0,,,,,0.145426,-0.123263
