Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.876994,0.701477,-0.728305,16.459999,0.461537,0,,,,,,,0.148689,-1.311795
-0.876163,0.7396,-0.726644,16.460068,0.469846,0,,,,,,,0.149519,-1.311795
-0.875332,0.779439,-0.724982,16.460056,0.478154,0,,,,,,,0.15035,-1.311795
-0.874502,0.819874,-0.723321,16.460026,0.486463,0,,,,,,,0.151181,-1.311795
-0.873671,0.860662,-0.72166,16.459959,0.494771,0,,,,,,,0.152011,-1.311795
-0.87284,0.902292,-0.719998,16.460005,0.50308,0,,,,,,,0.152842,-1.311795
-0.87201,0.944023,-0.718337,16.460051,0.511388,0,,,,,,,0.153673,-1.311795
-0.871179,0.986579,-0.716676,16.46011,0.519697,0,,,,,,,0.154503,-1.311795
-0.870348,1.029674,-0.715014,16.460136,0.528005,0,,,,,,,0.155334,-1.311795
-0.869518,1.074525,-0.713353,16.460114,0.536314,0,,,,,,,0.156165,-1.311795
-0.868687,1.118101,-0.711692,16.460138,0.544622,0,,,,,,,0.156995,-1.311795
-0.867857,1.161763,-0.71003,16.460159,0.552931,0,,,,,,,0.157826,-1.311795
-0.867026,1.202789,-0.708369,16.460127,0.561239,0,,,,,,,0.158657,-1.311795
-0.866195,1.24075,-0.706708,16.46006,0.569548,0,,,,,,,0.159487,-1.311795
-0.865364,1.272333,-0.705046,16.46003,0.577856,0,,,,,,,0.160318,-1.311795
-0.864534,1.301851,-0.703385,16.459997,0.586165,0,,,,,,,0.161149,-1.311795
-0.863703,1.329765,-0.701724,16.459965,0.594473,0,,,,,,,0.161979,-1.311795
-0.862872,1.358362,-0.700062,16.459934,0.602782,0,,,,,,,0.16281,-1.311795
